label,trades,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps,account,active_days,avg_trade_size_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,56543565.22999977,2143382.5976890037,15995.318251819881,2127387.279437184,6279,0.7910495301799649,341.3573176762229,379.0674657621005,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,3837.885375008469
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,61697263.96999946,1600229.8199789997,7405.312303999991,1592824.5076749998,1732,0.7927251732101617,923.9202193874132,259.3680362806879,0x083384f897ee0f19899168e3b1bec365f52a9012,24,16159.576733891949
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,68036340.24000037,940163.806219996,8596.705666219015,931567.100553777,9997,0.9911973592077623,94.04459400019965,138.1855348044204,0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,3210.4728312570955
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,420876556.36000055,840422.555216,76424.64289168981,763997.9123243102,5482,0.8954761036118205,153.30582911638086,19.9683860389966,0x513b8629fe877bb581bf244e326a047b249c4ff1,39,34396.580284406715
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,74107810.43999864,836080.553076997,13352.899708950083,822727.653368047,22551,0.7630703738193428,37.075098801693805,112.81949204988715,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,1844.211886322881
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,39572949.25000023,677747.0506430005,8025.992394190003,669721.0582488105,2233,0.948499776085983,303.51412926242745,171.26523635157076,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,9084.699093204828
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,11474500.920000017,429355.565914999,1551.4372662900125,427804.128648709,737,0.746268656716418,582.5720025983704,374.1823447559568,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,7216.667245283029
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2966109.219999996,416541.8723410002,747.0069310000001,415794.8654100002,599,1.0,695.3954463121872,1404.3376067621703,0x430f09841d65beb3f27765503d0f850b8bce7713,28,2397.8247534357283
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,25729497.240000032,379095.4067109999,2595.2591416800046,376500.1475693199,8660,0.9263279445727483,43.77545112136257,147.33883183758604,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,2600.7780491256476
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,2962475.4699999867,360539.5100290009,281.4988441599999,360258.0111848409,558,0.7741935483870968,646.1281541738368,1217.021081457267,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,65,2080.3900772471816
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,129672529.28000028,308975.86971599975,40724.46740300005,268251.4023129997,2949,0.9267548321464903,104.77309925940989,23.827395935867955,0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,17098.17105485236
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,20737391.710000012,220519.06185300005,4773.098484430002,215745.96336857005,1177,0.7349192863211554,187.3568919736619,106.33886119181568,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,67,7852.098337750856
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,1987527.6099999982,199505.59273200008,267.9670889790005,199237.62564302108,90,1.0,2216.728808133334,1003.7877799946651,0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,5189.367127937332
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,10166880.200000001,168658.00499400008,3108.196722000008,165549.80827200005,2060,0.8174757281553398,81.87281795825247,165.88963543998486,0x2c229d22b100a7beb69122eed721cee9b24011dd,69,3138.8947823402286
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,6757022.1000000555,132464.81455400062,2218.3673664509092,130246.44718754971,6772,0.8620791494388659,19.560663696692355,196.04022688337744,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,507.6269326121295
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,10992355.740000036,126578.94213400029,2821.9587992599886,123756.9833347403,892,0.976457399103139,141.9046436479824,115.15178832267293,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,3601.689298820457
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,728057.5099999995,108731.21677200001,186.8360769324001,108544.38069506761,426,0.9882629107981221,255.23759805633807,1493.4426920752467,0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,746.7256512820508
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,19868207.979999967,106302.87525599996,2287.955433104195,104014.91982289575,5561,0.9703290775040461,19.115784077683863,53.50400769058193,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,1273.195000320408
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,4408828.89999999,103343.71616100028,1230.8465211818982,102112.86963981838,3663,0.822003822003822,28.2128627248158,234.40173911262585,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,517.528923582579
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,861809.3999999994,72846.48427199993,189.93800450999984,72656.54626748993,255,0.9372549019607843,285.6724873411762,845.2737260930314,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,37,2066.689208633092
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,1677425.719999999,67845.61953100005,548.729264609999,67296.89026639005,230,1.0,294.9809544826089,404.4627355004434,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,2979.4417761989325
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,11999173.369999992,65513.65790599992,3384.8822185800036,62128.77568741992,714,0.8837535014005602,91.75582339775899,54.59847598318346,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,6279.002286760854
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,1143896.4600000002,53496.247243,176.27417591699992,53319.973067082996,158,1.0,338.58384331012655,467.66686595917946,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,3445.4712650602414
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,12035487.659999982,47885.3205140001,2729.83788852998,45155.48262547012,4166,0.7736437830052808,11.494316013922251,39.786772141478956,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,1653.2263269230743
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,12304786.840000067,43917.00897600039,3792.5430954700223,40124.46588053037,6559,0.5990242415002287,6.695686686385179,35.69099533950167,0x8477e447846c758f5a675856001ea72298fd9cb5,174,820.4285131350891
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,108877041.0999999,22488.50082099993,28643.17371499996,-6154.672894000032,2641,0.8034835289663006,8.51514608898142,2.06549522229806,0xb899e522b5715391ae1d4f137653e7906c5e2115,35,22504.55582885488
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,4448323.259999998,21758.83175299999,541.7456094463996,21217.08614355359,230,0.7478260869565218,94.60361631739127,48.914681962659344,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,20,8330.193370786514
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,5844484.449999961,14900.443046999975,780.2169029600012,14120.226144039974,746,0.9450402144772118,19.973784245308277,25.494880129247456,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,3748.8675112251194
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,17193375.420000006,14456.919336000119,1458.657126069998,12998.26220993012,1767,0.66553480475382,8.181618186757284,8.408424165032345,0x39cef799f8b69da1995852eea189df24eb5cae3c,46,4790.575486207859
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1409901.9999999974,-31203.599985999983,147.07476338000004,-31350.67474937998,570,0.6508771929824562,-54.74315787017541,-221.31750991203674,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,1729.9411042944753
0x271b280974205ca63b716753467d5a371de622ab,3809,33873440.419999994,-70436.19131799998,9280.982849999978,-79717.17416799997,1607,0.7156191661481021,-43.83085956316116,-20.793928943932173,0x271b280974205ca63b716753467d5a371de622ab,12,8893.000897873457
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,10143758.129999982,-167621.1247809998,1579.385451920002,-169200.5102329198,2341,0.7522426313541222,-71.60236000897044,-165.24558514981084,0x8170715b3b381dffb7062c0298972d4727a0a63b,92,2204.6855314062122
